tweet_id,date,text,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,hashtags,source,is_retweet
1.47058E+18,2021-12-14 02:36:09+00:00,"I've avoided a hot take on the log4j situation because frankly I'm tired of tech hot takes. However, my not hot take hot take is that bugs happen, some of them very bad, and they occur for a set of complex reasons. \",Matt Klein,Idaho,Plumber @lyft. @envoyproxy creator. CNCF GB. Husband of @rjoslyn & dad. Office hours available on my website.,2011-06-04 14:03:52+00:00,20169,203,3181,,Twitter for Android,FALSE
1.47058E+18,2021-12-14 02:35:54+00:00,@RSnake Right? Whoever started calling it log4shell clearly wasn't pronouncing log4j as logforge.,George Furbish,"NYC, USA","Physics PhD candidate studying complex systems/netsci. Grudging altruist, frequently wrong. There's the hard way and there's the wrong way; pick one.",2010-02-18 06:11:41+00:00,811,637,31405,,Twitter Web App,FALSE
1.47058E+18,2021-12-14 02:35:45+00:00,@jobertabma @Hacker0x01 Please give insight for the rewarded log4j stats 🙃,Abdillah Hasny,Indonesia,"https://t.co/GJ0x1ASxQh | https://t.co/twLUSeXvPS  |
I do Web Exploitation & CTF Player || Security Consultant @vantagepointsec",2012-09-06 10:35:24+00:00,866,1296,4415,,Twitter for iPhone,FALSE
1.47058E+18,2021-12-14 02:35:44+00:00,I was just talking about the impact of this vulnerability today. Log4j supports MQTT broker. https://t.co/jbI0vIqOHU https://t.co/AM436VNep9,Cimone Wright,USA,Cybersecurity Researcher | Software Architect | Conscious Capitalist,2019-11-19 00:13:24+00:00,41,203,241,,Twitter for iPhone,FALSE
1.47058E+18,2021-12-14 02:35:10+00:00,Is it me or did the Internet miss a golden opportunity to name the log4j vuln “logjam”?,Robert Hansen,,"CTO, CISO, defender of others' privacy, Advisor, often found joking.",2008-07-28 20:25:37+00:00,36893,922,920,,Twitter for iPhone,FALSE
1.47058E+18,2021-12-14 02:34:04+00:00,Just remember: billions of devices run Java. #log4j,JoBrad,"Nashville, TN","Integration Manager at i3 Verticals. If it beeps, boops, or approaches c, I'm probably going to like it.",2008-07-14 14:20:46+00:00,267,372,20061,['log4j'],Twitter for iPhone,FALSE
1.47058E+18,2021-12-14 02:33:59+00:00,"What You Need to Know About Log4j: the Nasty Software Bug
Posing a Major Threat to Small Businesses | SSFEED
A multitude of apps may be vulnerable.
#ssfeed
https://t.co/qcMon9qMuT #cryptocurrency #crypto #altseason #defi #enrichedfeed #smartcontracts #furucombo #dex #cex",EFeeds,United States,"Crypto Research and investing news
$ada, $btc, $eth, $sol, $axs, $defi, $crypto,$xtz",2017-10-03 14:42:09+00:00,1614,877,104320,,bFol05,FALSE
1.47058E+18,2021-12-14 02:33:25+00:00,Repeat after me : #log4j rules the world. Is that a good thing?,Stacey,"Boston, MA",Project Management | Founder of the nonprofit Culture x Community which builds antiracist communities one family at a time.,2008-10-11 02:04:52+00:00,614,1088,2334,['log4j'],Twitter for iPhone,FALSE
1.47058E+18,2021-12-14 02:33:23+00:00,"@Fallenstedt Yeah, just run a log4j exploit on a Minecraft server and set it up",Jason Brown,"Portland, Oregon","All the things #react #reactnative #hasura

⬜⬜⬜⬜⬜⬜⬜⬜⬜",2012-04-08 03:35:20+00:00,5018,734,13632,,Twitter Web App,FALSE
1.47058E+18,2021-12-14 02:33:10+00:00,"That is true. Due to the severity doing an incident response should be the next step. 
#DFIR #log4j https://t.co/CJCYMBNHYn",drop ,,"Digital Forensics Specialist @PwC | #DFIR, #OSINT Enthusiast | Views are my own.",2020-04-07 20:10:50+00:00,257,300,1971,"['DFIR', 'log4j']",Twitter for iPhone,FALSE
1.47058E+18,2021-12-14 02:32:57+00:00,What’s your biggest challenge with fixing #log4j? https://t.co/Q3pACDQfLW,Sourcegraph,All Remote 🌏,"One universal tool to learn, find, and fix across all the code you care about. Any host, any repo, any language.",2013-06-10 06:43:33+00:00,14389,2378,3938,['log4j'],Twitter Web App,FALSE
1.47058E+18,2021-12-14 02:32:19+00:00,"Though Pelias uses Elasticsearch, we do not believe it is possible to exploit the new #log4shell log4j vulnerability through Pelias

Please follow this GitHub issue for the latest details and updates

https://t.co/1SfYZqNHxe",Pelias Geocoder,"0, 0",An open source geocoder build on Elasticsearch and Node.js,2018-05-02 16:51:49+00:00,319,13,25,['log4shell'],Twitter Web App,FALSE
1.47058E+18,2021-12-14 02:32:05+00:00,The Log4J Vulnerability Will Haunt the Internet for Years https://t.co/ETx6SotnAx https://t.co/ZUlue9rhGW,Tech Talk,,Follow us to get Instant tech updates curated from popular Publishers.,2014-08-06 06:42:30+00:00,84,116,111,,dlvr.it,FALSE
1.47058E+18,2021-12-14 02:31:59+00:00,The Log4J Vulnerability Will Haunt the Internet for Years https://t.co/MMatUR7NRy,Infiniti Cloud,"Watford, England","Infiniti Cloud Solutions are IT and Network Support specialists, allow us to manage all of your IT requirements, so you can just concentrate on your business !!",2014-07-05 04:16:29+00:00,389,809,23,,WordPress.com,FALSE
1.47058E+18,2021-12-14 02:31:59+00:00,"#うひーメモ
投稿時間:2021-12-14 11:31:58
The Log4J Vulnerability Will Haunt the Internet for Years
https://t.co/dXjdmTeySi
#海外TECH",【自動化した】うひーまん,,"こんにちわうひーマンです。
本体は↓コイツです。
https://t.co/KyLzAPcfo4

すでに読んだ記事や後で読もうと思った記事なんかをストックしている場所です。24時間フル稼働しています。
人ではありませんので、悪しからず。",2020-02-29 04:22:27+00:00,224,763,0,"['うひーメモ', '海外TECH']",uhiiman_bot,FALSE
1.47058E+18,2021-12-14 02:31:37+00:00,The Log4J Vulnerability Will Haunt the Internet for Years - https://t.co/fDPXdm6tVM https://t.co/vbpQVFHSqc,Digitallifestyleserve,,"#makemoneyonline, #blogs #makepassiveincomeonline, #onlineentrepreneur #dotcomlifestyle, #SEO ,#contentmarketer , #digitallifestyle & #digitalbreakingnews",2017-12-09 22:16:29+00:00,1780,17,1,,digitallifestyleserve,FALSE
1.47058E+18,2021-12-14 02:31:09+00:00,"I'm raising $2,245.00 until 12/27/2021 for Help get Home for Christmas. Can you help? https://t.co/BhejRij7fb #Homeless #NoWayHome #MissUniverse2021 #MaxVerstappen #LastDecemberWithout #helpinghand #HappyHolidays #MerryChristmas #log4j #MadeInChelsea #แอนชิลี #WeLoveYouJimin https://t.co/ymo3gYbvAU",Brian Leahy,"Tucson, AZ",Leahy Laboratories is my company I’m starting. I’m currently homeless with my wife living in our car. We’re just trying to survive after COVID took so much.,2021-02-24 20:44:48+00:00,10,250,32,,Twitter for iPhone,FALSE
1.47058E+18,2021-12-14 02:31:09+00:00,"@SvenApel @acm_tosem Working on a diverse set of fixes for some #Log4J affected infrastructure, I need to go to bed now, but briefly reading through the abstract of your paper, my Twitter bubble obviously makes sure to keep me busy also during the X-Mas break ;-) Looking forward to read all of it!",Frederik Kramer,Hamburg / Magdeburg,"CEO at initOS GmbH, Affiliate Researcher at Otto-von-Guericke-University (OVGU) Magdeburg. Views are my own and do not necessarily reflect those of my company",2011-01-25 19:24:41+00:00,388,279,663,['Log4J'],Twitter for Android,FALSE
1.47058E+18,2021-12-14 02:31:07+00:00,security news today #log4j https://t.co/uRR8kg1uW5,Isriya Paireepairit,"Bangkok, Thailand",I co-founded @blognone @siu_thailand @wekorat @twobaht @brandinsideasia.,2007-09-29 08:08:48+00:00,83107,2258,1419,['log4j'],Twitter Web App,FALSE
1.47058E+18,2021-12-14 02:30:55+00:00,Zabbix NOT AFFECTED by the Log4j exploit https://t.co/EV7U818pRp,Dirk Steinkopf,"München, Bayern, Deutschland","Interessantes aus Netz, Mobile und M-Commerce",2009-06-01 05:35:20+00:00,165,192,1031,,IFTTT,FALSE
1.47058E+18,2021-12-14 02:30:52+00:00,"Today's small ""good news"": vsphere isn't impacted by log4j https://t.co/egnaxoU9DL",Aliz,Singapore,"Fuzzing/exploitation/general hackery.
Brit, living in Singapore for ~5 years. Too hot lah. 
Fairly trans. Pronouns are they/them. Nonbinary, I think.",2011-10-10 06:25:03+00:00,688,928,48182,,Twitter Web App,FALSE
1.47058E+18,2021-12-14 02:30:50+00:00,Log4j update: Experts say log4shell exploits will persist for 'months if not years'  https://t.co/FM2Qr4oiMJ via @ZDNet,Dr. Joseph Frusci,"New York, NY",Adj Asst Prof @CUNY. Words @MHEducation @saberscroll @siadvance. Creator of The Average Joe edu & info platform. Vet @USarmy #Twitterstorians #infosec #techgeek,2011-06-01 19:24:23+00:00,3016,3467,20974,,GroupTweet,FALSE
1.47058E+18,2021-12-14 02:30:49+00:00,"If you were not nice to your people in the recent days you are not a leader

Now go and give your people BOTH time off and $$$

Remember - people first. Remediation second

Break all the rules to make that happen :) #log4j",Michal,World citizen (São Paulo),"Adventure & Impact seeker
Fitness & Travel addict
Adrenaline. Brazil. Languages
#stayhungry",2012-06-26 18:32:05+00:00,863,272,5597,,Twitter Web App,FALSE
1.47058E+18,2021-12-14 02:30:49+00:00,"I have survived day 4 of log4j.

I am fueled by caffeine and rage.

Caffeine, rage, and the undying hope that some latex lovely will entice me to forget all about this.

Who am I kidding?",APT 303 is Infosec Zathras.,Denver CO,"Unix, Networks, Infosuck, shooter.  Likes coffee, beer, latex, computing products that don't suck. Runs @dcskytalks. Opinions my own, RT/Fav/Follow≠Endorsement.",2007-12-19 18:17:40+00:00,1898,2319,9548,,Twitter for Android,FALSE
1.47058E+18,2021-12-14 02:30:47+00:00,"Analysis - Log4j doesn't just blow a hole in your servers, it's reopening that can of worms: Is Big Biz exploiting open source? Would more money have prevented this security flaw? Would the cash be useful in other ways anyway? | https://t.co/woCjVnYZO6",ZAQS Tech News,"Boston, MA",We post the latest Tech News from the ZAQS News Aggregator at https://t.co/wAx7mUC224,2018-03-01 00:35:43+00:00,878,837,87,,ZAQS Tech,FALSE
1.47058E+18,2021-12-14 02:30:38+00:00,Simple script I have been using for Windows machines to find log4j jar files. https://t.co/UM5iFz3YVh,Shak The Hack,"London, Dubai","Security Architect, IT Pro, Geek on 🔥, Jack of Infosec, Master of Disaster, interests in #Cyber #Cloud #Azure #AWS #Hacking, opinions are my own 🙄",2018-05-20 22:54:39+00:00,2025,1787,6006,,Twitter for Android,FALSE
1.47058E+18,2021-12-14 02:30:10+00:00,Log4j update: Experts say log4shell exploits will persist for 'months if not years'  https://t.co/YIIlr9giGp,ZDNet,USA | UK | Asia | Australia,Where technology means business,2007-04-08 21:05:10+00:00,464012,204,333,,True Anthem,FALSE
1.47058E+18,2021-12-14 02:30:09+00:00,The #Log4J #Vulnerability Will Haunt the Internet for Years https://t.co/jLIXMDSyct #Wired,Security News Bot,Internet,Tweeting all things #InfoSec #Cybercrime #DDoS #Malware #Hackers #Vuln #Botnet and more.,2014-05-03 18:08:14+00:00,13931,9411,2,"['Log4J', 'Vulnerability', 'Wired']",SecurityNewsbot,FALSE
1.47058E+18,2021-12-14 02:30:05+00:00,The Log4J Vulnerability Will Haunt the Internet for Years | WIRED https://t.co/fhYeKVDM4s,Steve Smith,,"PhD Computer Scientist, Unfussy Bon Vivant, Iconoclast, Contrarian, Skeptic, Lover of Lisp code, adventure, mystery, science, dogs, & women (not in that order)",2009-04-10 03:14:51+00:00,557,2369,56520,,Twitter for iPad,FALSE
1.47058E+18,2021-12-14 02:30:01+00:00,"Wired: ""The Log4J Vulnerability Will Haunt the Internet for Years"" https://t.co/PqNwqsGdTi",Evan Kohlmann,"New York, NY","NBC News Analyst / Co-founder @FlashpointIntel
Terrorism, Extremist Groups, Cyberintelligence, and the Dark Web.  
Contact me on Telegram: @ekohlmann",2009-03-27 18:14:36+00:00,24648,32,565,,timeline_manager,FALSE
1.47058E+18,2021-12-14 02:30:00+00:00,"The vulnerability in #Log4j affects Apache Struts, Apache Solr, Apache Druid, Apache Dubbo, VMware vCenter + more. @TrendMicro observed threat actors using obfuscation in the expression to hide their traffic. One possible #Log4Shell infection flow: https://t.co/sSnoGfCOFO https://t.co/L5QWfnbF1D",Kelly Stefani Gomes,,Sales Executive | Helping people and companies to be safe in their journey to the cloud,2021-10-08 16:21:49+00:00,5,65,1,['Log4j'],Trend Micro ,FALSE
